15632515,1,ما هي عاصمة جمهورية مصر العربية ؟,الخرطوم,طرابلس,القاهرة,الاسكندرية,القاهرة,"القاهرة هي عاصمة جمهورية مصر العربية وأكبر وأهم مدنها على الإطلاق، وتعد أكبر مدينة عربية من حيث تعداد السكان والمساحة، وتحتل المركز الثاني أفريقياً والسابع عشر عالمياً من حيث التعداد السكاني، يبلغ عدد سكانها 9.7 مليون نسمة حسب إحصائيات عام 2018 يمثلون 10.6% من إجمالي تعداد سكان مصر."
15632516,1,ما هي عاصمة جمهورية بوروندي ؟,بوجمبورا,غيتغا,كينشاسا,لوندا,غيتغا,"غيتيغا (بالفرنسية: Gitega)‏ هي عاصمة بوروندي، وهي أيضًا عاصمة مقاطعة جيتيغا. يبلغ عدد سكانها حوالي 41,944 نسمة."
15632517,1,ما هي عاصمة الاتحاد القمري (جزر القمر) ؟,موروني,موهيلي,انتناناريفو,مقدشيو,موروني,"موروني هي العاصمة الفدرالية لاتحاد جزر القمر. أصبحت العاصمة السياسية والإدارية لجزر القمر بعد إعلان استقلالها عام 1975، وهي مركز النشاط الثقافي والاقتصادي والسياسي والدبلوماسي (السفارات والهيئات الدبلوماسية) في البلاد، وتطورت عمرانيا في العقدين الأخيرين."
15632518,1,ما هي عاصمة جمهورية جيبوتي ؟,جوبا,اسمرة,جيبوتي,اديس ابابا,جيبوتي,"تعد مدينة جيبوتي (بالإنجليزية: Djibouti) عاصمة دولة جيبوتي وأكبر مدينة فيها، حيث يبلغ عدد سكانها ما يُقارب 624,000 نسمة،[١]وتتميز العاصمة جيبوتي بأنها تتطور وتزدهر بشكل سريع؛ ويعود السبب في ذلك إلى أهميتها الجيوستراتيجية بالإضافة إلى وجود ميناء مُزدحم فيها، كما أنَّ هذا التطور يبدو واضحاً من خلال الاختلافات المُتباينة التي تعم المنطقة، خلافاً لما كانت عليه خلال فترة الإستيطان الفرنسي، وتتميز هذه العاصمة ببنية تحتية ممتازة، وتضّم العديد من الفنادق والنوادي والمطاعم."
15632519,1,ما هي عاصمة دولة إريتريا ؟,جوبا,اسمرة,جيبوتي,اديس ابابا,اسمرة,"أسمرة هي عاصمة إريتريا.و أكبر مدنها ويبلغ عدد سكانها شاملا الضواحى 579,000 نسمة وهي تقع على ارتفاع حوالي 7,628 قدم أي 2,325 متر.لذا فهي تتمتع بطقس معتدل طوال العام الذي يراوح ما بين 16 غلى 29 درجة مئوية.بناها الإيطاليون لتكون مستعمرة دائمة لهم فعنيو بها عناية فائقة في تخطيطها وشوارعها والصرف الصحي الممتاز الذي لا نظير له في دول المنطقة."
15632520,1,ما هي عاصمة دولة جمهورية إثيوبيا الفيدرالية الديموقراطية ؟,جوبا,اسمرة,جيبوتي,اديس ابابا,اديس ابابا," أبابا (وتكتب أحيانًا أديس أبيبا، والتي يستخدمها الهيئة الإثيوبية الرسمية للخرائط) وتأسست في عام 1886. (في اللغات الإثيوبية: الأمهرية، أديس أبابا ""زهرة جديدة""، أورومو، Finfinne، أصد؛ الجعزية ) وهي عاصمة إثيوبيا والاتحاد الأفريقي وسابقتها، وOAU، وأيضا أكبر مدينة في إثيوبيا، ويبلغ عدد سكانها 2.738.248 وفقا لتعداد السكان لعام 2007."
15632521,1,ما هي عاصمة جمهورية كينيا ؟ ,ناكورو,كامبالا,نيروبي,مقدشيو,نيروبي,"نيروبي (بالإنجليزية: Nairobi)‏ هي عاصمة كينيا، وأكبر المدن فيها. ونيروبي وماحولها من الضواحي والمساحات تشكل محافظة نيروبي. واشتق اسم نيروبي من لغة قبائل الماساي وجاءت من كلمة ""إنكارا نيروبي"" وتعني مكان الماء البارد، وتشتهر المدينة باسم ""المدينة الخضراء تحت الشمس""، ويحيط بالمدينة ضواحي حديثة راقية بنيت فيها مساكن وفيلات جديدة.[7]"
15632522,1,ما هي عاصمة جمهورية مدغشقر ؟,أنتاناناريفو,ليلونغوى,دار السلام,نيروبي,أنتاناناريفو,أنتاناناريفو (بالفرنسية: Antananarivo)‏ هي عاصمة مدغشقر. وأكبر مدنها. تعرف أيضا بالاسم المختصر تانا وباسمها وقت الاستعمار الفرنسي تاناناريف. وهي تقع في وسط جزيزة مدغشقر وتبعد 145 كم عن الساحل الشرقي. وتعتبر المركز الإداري والاقتصادي لمدغشقر.
15632523,1,ما هى عاصمة جمهورية مالاوى ؟,دودوما,هراري,ليلونغوى,لوساكا,ليلونغوى,"تعد ليلونغوي عاصمة ملاوي وتقع في المنطقة الوسطى من البلاد على نهر ليلونغوي بالقرب من حدود ملاوي بموزمبيق وزامبيا وعلى الطريق الرئيسى الذي يربط جنوب البلاد بشمالها ويقدر عدد سكانها بحوالى 597,609(طبقاً لإحصائيات 2003)."
15632524,1,ما هي عاصمة جمهورية موريشيوس ؟,هراري,بورت لويس,دودوما,ليلونغوى,بورت لويس,"بورت لويس (بالإنجليزية: Port Louis)‏ هي عاصمة موريشيوس. تقع في دائرتها الخاصة وبلغ عدد سكانها 147,688 نسمة وذلك بحسب إحصاء من عام 2003، والمدينة بها مناء يطل على المحيط الهندي وهي أكبر مدينة في البلاد."
